optim,n_functions,time,n_relations,size_max
3,20,14.02841830253601,20,10
0,21,20.912752866744995,20,10
1,21,20.71109127998352,20,10
2,21,15.622762441635132,20,10
3,21,21.635815143585205,20,10
0,22,24.159595012664795,20,10
1,22,24.207059383392334,20,10
2,22,17.943225622177124,20,10
3,22,25.15191078186035,20,10
0,23,25.86322855949402,20,10
1,23,25.97669267654419,20,10
2,23,24.41897964477539,20,10
3,23,26.657660245895386,20,10
0,24,26.768985986709595,20,10
1,24,26.986314058303833,20,10
2,24,25.473588943481445,20,10
3,24,27.540198802947998,20,10
0,25,29.780972242355347,20,10
1,25,29.599179983139038,20,10
2,25,28.81818127632141,20,10
3,25,30.683828353881836,20,10
0,26,33.58324861526489,20,10
1,26,33.72681522369385,20,10
2,26,32.082478523254395,20,10
3,26,27.7599196434021,20,10
0,27,36.30619835853577,20,10
1,27,36.19086217880249,20,10
2,27,27.377976417541504,20,10
3,27,37.795151710510254,20,10
0,28,38.671690225601196,20,10
1,28,37.671241998672485,20,10
2,28,36.45242118835449,20,10
3,28,39.2316792011261,20,10
0,29,43.09871959686279,20,10
1,29,42.574639320373535,20,10
2,29,32.3631911277771,20,10
3,29,44.48846125602722,20,10
0,30,46.44141936302185,20,10
1,30,46.41986536979675,20,10
2,30,44.149882078170776,20,10
3,30,47.85291910171509,20,10
0,31,49.56495523452759,20,10
1,31,49.58880949020386,20,10
2,31,48.27829027175903,20,10
3,31,50.56221103668213,20,10
0,32,60.51904559135437,20,10
1,32,60.17206645011902,20,10
2,32,57.973068714141846,20,10
3,32,60.810516119003296,20,10
0,33,67.02033543586731,20,10
1,33,66.02656245231628,20,10
2,33,64.03511452674866,20,10
3,33,66.63075256347656,20,10
0,34,73.98611354827881,20,10
1,34,72.56284308433533,20,10
2,34,69.45070195198059,20,10
3,34,73.92694973945618,20,10
0,35,77.22140955924988,20,10
1,35,77.19600987434387,20,10
2,35,72.67505359649658,20,10
3,35,78.71722745895386,20,10
0,1,0.025513410568237305,30,10
1,1,0.026981830596923828,30,10
2,1,0.02775263786315918,30,10
3,1,0.030921459197998047,30,10
0,2,0.05904078483581543,30,10
1,2,0.06337881088256836,30,10
2,2,0.05386710166931152,30,10
3,2,0.06287312507629395,30,10
0,3,0.2098255157470703,30,10
1,3,0.19736671447753906,30,10
2,3,0.1884007453918457,30,10
3,3,0.21447038650512695,30,10
0,4,0.3604300022125244,30,10
1,4,0.3599541187286377,30,10
2,4,0.35115957260131836,30,10
3,4,0.38702392578125,30,10
0,5,0.3972609043121338,30,10
1,5,0.3963449001312256,30,10
2,5,0.3848881721496582,30,10
3,5,0.41820311546325684,30,10
0,6,0.6046586036682129,30,10
1,6,0.6128065586090088,30,10
2,6,0.5514161586761475,30,10
3,6,0.6480922698974609,30,10
0,7,0.9852786064147949,30,10
1,7,0.9702351093292236,30,10
2,7,0.9283754825592041,30,10
3,7,1.06931734085083,30,10
0,8,1.524007797241211,30,10
1,8,1.540255069732666,30,10
2,8,1.4662363529205322,30,10
3,8,1.6004564762115479,30,10
0,9,1.5574018955230713,30,10
1,9,1.5942363739013672,30,10
2,9,1.4814953804016113,30,10
3,9,1.6430227756500244,30,10
0,10,3.1246047019958496,30,10
