optim,n_functions,time,n_relations,size_max
True,21,14.30152440071106,1000,10
False,21,17.62536644935608,1000,10
True,22,14.548420429229736,1000,10
False,22,18.536004543304443,1000,10
True,23,20.883363485336304,1000,10
False,23,25.001672744750977,1000,10
True,24,20.785871267318726,1000,10
False,24,26.832082748413086,1000,10
True,25,22.11647081375122,1000,10
False,25,26.776192665100098,1000,10
True,26,27.682164669036865,1000,10
False,26,32.45842099189758,1000,10
True,27,32.72681379318237,1000,10
False,27,38.247371196746826,1000,10
True,28,38.98729991912842,1000,10
False,28,48.18345594406128,1000,10
True,29,48.819682598114014,1000,10
False,29,45.46060347557068,1000,10
True,30,44.572304248809814,1000,10
False,30,55.866310358047485,1000,10
True,31,50.852866888046265,1000,10
False,31,56.938342332839966,1000,10
True,32,50.827006578445435,1000,10
False,32,63.500221490859985,1000,10
True,33,57.49641394615173,1000,10
False,33,72.74016547203064,1000,10
True,34,70.29146718978882,1000,10
False,34,88.07095003128052,1000,10
True,35,80.22384643554688,1000,10
False,35,100.94258689880371,1000,10
True,36,85.16863203048706,1000,10
False,36,106.45858693122864,1000,10
True,37,93.89341759681702,1000,10
False,37,117.41297364234924,1000,10
True,38,107.49691033363342,1000,10
False,38,134.18002653121948,1000,10
True,39,108.56077337265015,1000,10
False,39,136.10866808891296,1000,10
True,40,109.44206023216248,1000,10
False,40,137.39288449287415,1000,10
True,41,121.27080011367798,1000,10
False,41,152.1526756286621,1000,10
True,42,141.77258586883545,1000,10
False,42,176.90147304534912,1000,10
True,43,163.14020562171936,1000,10
False,43,202.75988245010376,1000,10
True,44,172.13529181480408,1000,10
False,44,214.48847699165344,1000,10
True,45,195.46249222755432,1000,10
False,45,245.15190815925598,1000,10
True,46,201.32181453704834,1000,10
False,46,250.2423586845398,1000,10
True,47,203.93885731697083,1000,10
False,47,254.52669668197632,1000,10
True,48,209.3322401046753,1000,10
False,48,262.8751392364502,1000,10
True,49,219.0052032470703,1000,10
False,49,276.4020028114319,1000,10
True,50,231.50546383857727,1000,10
False,50,290.4227612018585,1000,10
True,51,259.3968257904053,1000,10
False,51,325.33585929870605,1000,10
True,52,294.760897397995,1000,10
False,52,368.8774254322052,1000,10
True,53,327.8238015174866,1000,10
False,53,404.6919267177582,1000,10
True,54,333.1123425960541,1000,10
False,54,418.2629909515381,1000,10
True,55,338.4284164905548,1000,10
False,55,436.46421909332275,1000,10
True,56,342.9763638973236,1000,10
False,56,428.9326448440552,1000,10
True,57,351.75299978256226,1000,10
False,57,442.51232504844666,1000,10
True,58,391.393705368042,1000,10
False,58,490.22794938087463,1000,10
True,59,402.8030698299408,1000,10
False,59,502.9856481552124,1000,10
True,60,415.87578868865967,1000,10
False,60,539.4424951076508,1000,10
True,61,495.2105486392975,1000,10
False,61,611.7662119865417,1000,10
True,62,483.565621137619,1000,10
